"","Municipio","Año","Subtipo.de.delito","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","Total"
"20","Estado de Jalisco",2018,"Acoso sexual",26,20,30,29,24,33,17,15,25,27,18,20,284
"21","Estado de Jalisco",2018,"Feminicidio",5,5,3,4,2,2,3,0,2,0,2,5,33
"22","Estado de Jalisco",2018,"Hostigamiento sexual",1,1,9,6,5,6,8,7,7,6,8,1,65
"23","Estado de Jalisco",2018,"Violación",35,34,43,31,30,39,31,32,21,34,31,31,392
"24","Estado de Jalisco",2018,"Violencia familiar",778,709,845,883,904,849,826,689,647,683,529,508,8850
"25","Estado de Jalisco",2019,"Abuso sexual",215,175,221,229,286,198,176,226,181,180,166,170,2423
"26","Estado de Jalisco",2019,"Acoso sexual",19,16,22,17,30,35,26,34,22,24,19,28,292
"27","Estado de Jalisco",2019,"Feminicidio",5,7,5,3,4,4,6,7,4,6,5,9,65
"28","Estado de Jalisco",2019,"Hostigamiento sexual",5,9,2,7,7,10,6,7,2,5,7,7,74
"29","Estado de Jalisco",2019,"Violación",23,38,40,32,30,40,48,38,32,45,48,32,446
"30","Estado de Jalisco",2019,"Violencia familiar",686,685,841,938,1169,1026,1062,1134,951,1002,782,779,11055
"31","Estado de Jalisco",2020,"Abuso sexual",161,199,220,176,176,183,165,179,188,184,161,145,2137
"32","Estado de Jalisco",2020,"Acoso sexual",18,26,31,10,18,24,21,28,24,26,18,19,263
"33","Estado de Jalisco",2020,"Feminicidio",4,3,6,8,6,4,2,4,5,9,6,13,70
"34","Estado de Jalisco",2020,"Hostigamiento sexual",3,10,8,3,7,2,2,7,4,5,4,5,60
"35","Estado de Jalisco",2020,"Violación",29,37,37,26,27,24,19,25,36,36,32,41,369
"36","Estado de Jalisco",2020,"Violencia familiar",778,943,1095,965,1116,1198,1106,999,941,1026,858,867,11892
"37","Estado de Jalisco",2021,"Abuso sexual",163,165,241,224,206,206,207,202,199,196,183,186,2378
"38","Estado de Jalisco",2021,"Acoso sexual",12,25,35,37,17,18,17,19,28,15,31,23,277
"39","Estado de Jalisco",2021,"Feminicidio",4,7,8,9,14,9,1,6,2,4,4,6,74
"40","Estado de Jalisco",2021,"Hostigamiento sexual",0,17,8,13,6,3,5,5,5,6,6,5,79
"41","Estado de Jalisco",2021,"Violación",29,38,46,57,45,38,47,32,48,45,50,42,517
"42","Estado de Jalisco",2021,"Violencia familiar",890,913,1300,1275,1173,1067,980,986,925,1122,1011,977,12619
"43","Estado de Jalisco",2022,"Abuso sexual",160,202,254,255,259,223,272,265,329,357,359,361,3296
"44","Estado de Jalisco",2022,"Acoso sexual",11,24,29,40,44,34,22,21,20,24,30,22,321
"45","Estado de Jalisco",2022,"Feminicidio",5,3,3,2,3,3,0,3,2,7,2,5,38
"46","Estado de Jalisco",2022,"Hostigamiento sexual",9,2,10,3,12,5,5,8,3,17,10,9,93
"47","Estado de Jalisco",2022,"Violación",26,37,47,46,56,29,37,54,49,66,39,40,526
"48","Estado de Jalisco",2022,"Violencia familiar",915,909,1222,1153,1272,1079,1042,1264,1228,1300,1264,1099,13747
"49","Estado de Jalisco",2023,"Abuso sexual",331,346,427,423,429,371,397,441,516,499,449,372,5001
"50","Estado de Jalisco",2023,"Acoso sexual",24,17,46,33,39,30,38,36,30,23,30,9,355
"51","Estado de Jalisco",2023,"Feminicidio",5,4,0,3,2,8,3,1,2,3,4,1,36
"52","Estado de Jalisco",2023,"Hostigamiento sexual",7,6,15,7,10,12,7,13,12,12,9,15,125
"53","Estado de Jalisco",2023,"Violación",58,48,48,48,40,63,65,53,51,43,46,44,607
"54","Estado de Jalisco",2023,"Violencia familiar",1143,1310,1584,1385,1647,1743,1552,1592,1472,1328,1140,1007,16903
"55","Acatic",2015,"Abuso sexual",0,0,0,2,1,0,0,0,0,0,1,0,4
"56","Acatlán de Juárez",2015,"Abuso sexual",1,0,1,0,0,1,1,0,0,0,0,0,4
"57","Ahualulco de Mercado",2015,"Abuso sexual",0,0,0,2,0,0,0,0,0,0,0,1,3
"58","Amacueca",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Amatitán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Ameca",2015,"Abuso sexual",3,2,0,1,2,0,1,1,2,1,0,0,13
"61","Arandas",2015,"Abuso sexual",1,2,1,0,0,1,0,0,0,2,2,2,11
"62","Atemajac de Brizuela",2015,"Abuso sexual",0,0,0,0,0,0,0,1,0,1,0,0,2
"63","Atengo",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Atenguillo",2015,"Abuso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"65","Atotonilco el Alto",2015,"Abuso sexual",0,0,0,2,1,2,0,1,1,0,0,1,8
"66","Atoyac",2015,"Abuso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"67","Autlán de Navarro",2015,"Abuso sexual",4,2,1,0,1,2,1,1,1,1,0,0,14
"68","Ayotlán",2015,"Abuso sexual",0,0,0,0,0,1,0,0,0,0,0,0,1
"69","Ayutla",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,1,0,2
"70","Bolaños",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Cabo Corrientes",2015,"Abuso sexual",0,0,0,0,0,1,0,0,0,1,0,0,2
"72","Casimiro Castillo",2015,"Abuso sexual",0,0,0,0,2,2,1,1,0,1,0,0,7
"73","Cañadas de Obregón",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"74","Chapala",2015,"Abuso sexual",0,0,3,0,2,1,1,0,0,2,1,0,10
"75","Chimaltitán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Chiquilistlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Cihuatlán",2015,"Abuso sexual",0,2,0,2,1,2,0,1,1,3,0,0,12
"78","Cocula",2015,"Abuso sexual",1,0,0,0,1,1,0,1,0,0,0,0,4
"79","Colotlán",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,1,2
"80","Concepción de Buenos Aires",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Cuautitlán de García Barragán",2015,"Abuso sexual",1,0,0,0,0,1,0,2,1,0,0,0,5
"82","Cuautla",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"83","Cuquío",2015,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,1,2
"84","Degollado",2015,"Abuso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"85","Ejutla",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"86","El Arenal",2015,"Abuso sexual",0,0,0,0,1,0,1,0,0,0,0,1,3
"87","El Grullo",2015,"Abuso sexual",1,0,0,0,0,1,1,0,0,0,0,2,5
"88","El Limón",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"89","El Salto",2015,"Abuso sexual",0,5,4,3,0,3,5,7,5,7,1,4,44
"90","Encarnación de Díaz",2015,"Abuso sexual",0,0,0,0,0,1,1,0,1,1,1,0,5
"91","Etzatlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"92","Guachinango",2015,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"93","Guadalajara",2015,"Abuso sexual",11,20,22,19,18,13,14,22,29,49,42,30,289
"94","Gómez Farías",2015,"Abuso sexual",0,0,1,0,0,0,0,0,0,0,0,1,2
"95","Hostotipaquillo",2015,"Abuso sexual",0,0,0,0,1,0,0,0,0,0,0,0,1
"96","Huejuquilla el Alto",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"97","Huejúcar",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Ixtlahuacán de los Membrillos",2015,"Abuso sexual",1,0,3,2,1,3,1,2,2,1,4,0,20
"99","Ixtlahuacán del Río",2015,"Abuso sexual",0,0,0,0,1,0,0,0,0,0,0,0,1
"100","Jalostotitlán",2015,"Abuso sexual",0,0,1,1,0,1,2,0,0,0,0,1,6
"101","Jamay",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,2,2
"102","Jesús María",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"103","Jilotlán de los Dolores",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Jocotepec",2015,"Abuso sexual",0,1,0,0,1,1,1,0,1,1,1,0,7
"105","Juanacatlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,1,2
"106","Juchitlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"107","La Barca",2015,"Abuso sexual",0,0,1,0,0,0,0,0,1,0,0,0,2
"108","La Huerta",2015,"Abuso sexual",0,2,0,1,0,0,0,1,0,0,0,0,4
"109","La Manzanilla de la Paz",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Lagos de Moreno",2015,"Abuso sexual",4,3,2,5,2,1,5,1,0,2,0,1,26
"111","Magdalena",2015,"Abuso sexual",1,1,0,0,0,0,0,0,0,0,0,0,2
"112","Mascota",2015,"Abuso sexual",0,0,0,0,0,1,0,1,0,0,0,1,3
"113","Mazamitla",2015,"Abuso sexual",0,0,0,0,0,1,1,0,1,1,0,0,4
"114","Mexticacán",2015,"Abuso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"115","Mezquitic",2015,"Abuso sexual",0,0,1,0,0,0,1,0,0,0,2,0,4
"116","Mixtlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"117","No Especificado",2015,"Abuso sexual",3,2,7,1,2,0,0,1,2,7,6,5,36
"118","Ocotlán",2015,"Abuso sexual",2,0,0,4,0,3,3,0,2,3,2,2,21
"119","Ojuelos de Jalisco",2015,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"120","Pihuamo",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,1,1
"121","Poncitlán",2015,"Abuso sexual",3,0,1,0,1,0,0,1,1,0,0,0,7
"122","Puerto Vallarta",2015,"Abuso sexual",11,6,15,6,10,8,8,7,9,10,4,8,102
"123","Quitupan",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"124","San Cristóbal de la Barranca",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"125","San Diego de Alejandría",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"126","San Gabriel",2015,"Abuso sexual",0,0,0,0,0,0,0,0,1,0,0,0,1
"127","San Ignacio Cerro Gordo",2015,"Abuso sexual",0,0,0,0,1,0,0,0,1,0,0,0,2
"128","San Juan de los Lagos",2015,"Abuso sexual",0,2,2,2,0,0,0,1,0,0,1,0,8
"129","San Juanito de Escobedo",2015,"Abuso sexual",0,0,0,0,0,0,0,0,1,0,0,0,1
"130","San Julián",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"131","San Marcos",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"132","San Martín Hidalgo",2015,"Abuso sexual",0,0,0,0,1,0,0,0,0,1,0,0,2
"133","San Martín de Bolaños",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"134","San Miguel el Alto",2015,"Abuso sexual",0,0,1,0,1,0,0,1,2,1,3,0,9
"135","San Pedro Tlaquepaque",2015,"Abuso sexual",13,3,10,10,10,10,7,7,11,16,17,20,134
"136","San Sebastián del Oeste",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Santa María de los Ángeles",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Santa María del Oro",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"139","Sayula",2015,"Abuso sexual",0,0,0,1,0,0,1,2,0,1,1,0,6
"140","Tala",2015,"Abuso sexual",1,1,2,4,1,3,2,2,1,0,1,1,19
"141","Talpa de Allende",2015,"Abuso sexual",0,0,0,1,2,1,0,0,1,0,0,1,6
"142","Tamazula de Gordiano",2015,"Abuso sexual",1,1,1,1,0,1,1,0,1,1,0,1,9
"143","Tapalpa",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"144","Tecalitlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"145","Techaluta de Montenegro",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"146","Tecolotlán",2015,"Abuso sexual",1,0,0,1,0,0,0,0,0,0,0,0,2
"147","Tenamaxtlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,1,1
"148","Teocaltiche",2015,"Abuso sexual",0,0,0,1,0,0,1,0,1,0,0,0,3
"149","Teocuitatlán de Corona",2015,"Abuso sexual",0,0,0,0,0,0,0,0,1,0,1,0,2
"150","Tepatitlán de Morelos",2015,"Abuso sexual",3,0,2,3,3,2,1,2,4,1,5,1,27
"151","Tequila",2015,"Abuso sexual",0,0,0,0,0,0,4,1,1,2,0,1,9
"152","Teuchitlán",2015,"Abuso sexual",1,0,0,0,0,0,0,0,2,0,0,0,3
"153","Tizapán el Alto",2015,"Abuso sexual",0,0,0,0,2,1,0,0,1,0,0,0,4
"154","Tlajomulco de Zúñiga",2015,"Abuso sexual",6,8,11,10,7,16,15,23,10,16,16,21,159
"155","Tolimán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Tomatlán",2015,"Abuso sexual",1,1,0,0,0,0,1,2,1,0,1,3,10
"157","Tonalá",2015,"Abuso sexual",7,11,9,6,8,5,11,11,5,11,14,17,115
"158","Tonaya",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Tonila",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Totatiche",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"161","Tototlán",2015,"Abuso sexual",1,0,0,2,0,0,0,0,0,0,0,0,3
"162","Tuxcacuesco",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"163","Tuxcueca",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"164","Tuxpan",2015,"Abuso sexual",0,1,2,1,3,1,0,1,1,1,0,0,11
"165","Unión de San Antonio",2015,"Abuso sexual",0,0,0,0,0,1,0,0,0,0,0,0,1
"166","Unión de Tula",2015,"Abuso sexual",0,2,0,0,0,0,0,0,0,0,0,0,2
"167","Valle de Guadalupe",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Valle de Juárez",2015,"Abuso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"169","Villa Corona",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Villa Guerrero",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Villa Hidalgo",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"172","Villa Purificación",2015,"Abuso sexual",0,0,0,1,0,0,0,0,2,1,1,0,5
"173","Yahualica de González Gallo",2015,"Abuso sexual",1,1,0,0,1,0,0,0,0,0,0,0,3
"174","Zacoalco de Torres",2015,"Abuso sexual",0,0,0,0,0,3,0,1,0,1,0,0,5
"175","Zapopan",2015,"Abuso sexual",22,16,19,19,13,19,15,16,15,23,45,19,241
"176","Zapotiltic",2015,"Abuso sexual",0,0,0,0,0,2,2,0,0,1,0,1,6
"177","Zapotitlán de Vadillo",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"178","Zapotlanejo",2015,"Abuso sexual",1,0,1,0,1,2,3,0,1,2,1,2,14
"179","Zapotlán del Rey",2015,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"180","Zapotlán el Grande",2015,"Abuso sexual",0,2,1,5,2,6,2,3,1,3,1,0,26
"181","Acatic",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Acatlán de Juárez",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Ahualulco de Mercado",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"184","Amacueca",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Amatitán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"186","Ameca",2015,"Acoso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"187","Arandas",2015,"Acoso sexual",0,0,1,0,0,0,0,0,0,0,0,0,1
"188","Atemajac de Brizuela",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Atengo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"190","Atenguillo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"191","Atotonilco el Alto",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,1,1
"192","Atoyac",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Autlán de Navarro",2015,"Acoso sexual",0,0,0,1,0,1,0,0,0,0,0,0,2
"194","Ayotlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"195","Ayutla",2015,"Acoso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"196","Bolaños",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"197","Cabo Corrientes",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"198","Casimiro Castillo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"199","Cañadas de Obregón",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"200","Chapala",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Chimaltitán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"202","Chiquilistlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"203","Cihuatlán",2015,"Acoso sexual",0,0,0,0,0,1,0,0,0,0,0,0,1
"204","Cocula",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"205","Colotlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"206","Concepción de Buenos Aires",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"207","Cuautitlán de García Barragán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Cuautla",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Cuquío",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"210","Degollado",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"211","Ejutla",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"212","El Arenal",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"213","El Grullo",2015,"Acoso sexual",0,0,1,0,0,0,0,0,0,0,0,0,1
"214","El Limón",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"215","El Salto",2015,"Acoso sexual",1,0,0,0,1,0,0,0,0,0,0,0,2
"216","Encarnación de Díaz",2015,"Acoso sexual",0,0,1,0,0,0,0,0,0,0,0,0,1
"217","Etzatlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"218","Guachinango",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"219","Guadalajara",2015,"Acoso sexual",3,0,1,1,1,0,0,0,3,10,7,2,28
"220","Gómez Farías",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"221","Hostotipaquillo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"222","Huejuquilla el Alto",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"223","Huejúcar",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"224","Ixtlahuacán de los Membrillos",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"225","Ixtlahuacán del Río",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"226","Jalostotitlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"227","Jamay",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"228","Jesús María",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"229","Jilotlán de los Dolores",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"230","Jocotepec",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"231","Juanacatlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"232","Juchitlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"233","La Barca",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"234","La Huerta",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"235","La Manzanilla de la Paz",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"236","Lagos de Moreno",2015,"Acoso sexual",2,1,1,0,0,1,0,3,0,0,0,0,8
"237","Magdalena",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"238","Mascota",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"239","Mazamitla",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"240","Mexticacán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Mezquitic",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"242","Mixtlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"243","No Especificado",2015,"Acoso sexual",0,0,0,0,0,0,0,0,3,0,1,0,4
"244","Ocotlán",2015,"Acoso sexual",0,0,0,0,0,0,1,0,0,0,0,0,1
"245","Ojuelos de Jalisco",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"246","Pihuamo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"247","Poncitlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"248","Puerto Vallarta",2015,"Acoso sexual",1,1,0,0,1,0,1,0,0,1,1,2,8
"249","Quitupan",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"250","San Cristóbal de la Barranca",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"251","San Diego de Alejandría",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"252","San Gabriel",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"253","San Ignacio Cerro Gordo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"254","San Juan de los Lagos",2015,"Acoso sexual",0,0,1,0,0,0,0,0,1,0,0,0,2
"255","San Juanito de Escobedo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"256","San Julián",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"257","San Marcos",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"258","San Martín Hidalgo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"259","San Martín de Bolaños",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"260","San Miguel el Alto",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"261","San Pedro Tlaquepaque",2015,"Acoso sexual",0,0,0,0,0,0,1,1,1,3,2,2,10
"262","San Sebastián del Oeste",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"263","Santa María de los Ángeles",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"264","Santa María del Oro",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"265","Sayula",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"266","Tala",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"267","Talpa de Allende",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"268","Tamazula de Gordiano",2015,"Acoso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"269","Tapalpa",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"270","Tecalitlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"271","Techaluta de Montenegro",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"272","Tecolotlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"273","Tenamaxtlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"274","Teocaltiche",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"275","Teocuitatlán de Corona",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"276","Tepatitlán de Morelos",2015,"Acoso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"277","Tequila",2015,"Acoso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
